,y_hat,y
1132,1,0
7270,0,0
9121,0,0
426,0,0
2893,0,0
5153,0,0
662,0,0
9702,0,0
893,0,0
8774,1,0
6432,0,0
3715,1,0
5397,0,0
3223,0,0
3041,0,0
10566,0,0
5395,0,0
8946,0,0
7162,0,0
229,0,0
772,0,0
5401,0,0
1564,1,1
16,0,0
1882,0,0
6959,0,0
3495,0,0
3833,0,0
6494,0,0
1736,0,0
3523,0,0
6102,0,0
5899,0,0
1539,0,0
7195,0,0
5329,0,0
9317,0,0
1154,1,0
3289,0,0
8768,0,0
9613,0,0
9630,1,0
5879,0,0
9846,1,0
4191,0,0
1155,0,0
3756,0,0
2478,1,0
560,0,0
313,0,0
8484,0,0
92,0,0
10313,0,0
1205,0,0
1694,0,0
3029,0,0
2023,0,0
3553,0,0
8553,0,0
1520,1,0
10121,0,0
10785,0,0
4474,0,0
10207,0,0
3567,0,0
2298,0,0
9678,0,0
10820,0,0
3260,0,0
4422,1,0
588,0,0
57,0,0
2946,0,0
1033,1,0
9390,0,0
3503,0,0
4941,0,0
3534,0,0
5084,0,0
3118,0,0
6446,0,0
547,0,0
3022,0,0
2557,1,0
6198,0,0
6300,0,0
9342,1,0
6931,0,0
9811,0,0
10357,0,0
5509,0,0
5736,0,0
4694,0,0
7577,0,0
690,0,0
7125,0,0
118,0,0
2301,0,0
1188,0,0
9934,0,0
5845,0,0
9605,0,0
1936,1,0
4820,0,0
9548,0,0
4887,0,0
2885,0,0
634,0,0
8021,0,0
5351,0,0
4235,0,0
4238,0,0
3885,0,0
4299,0,0
7891,0,0
3466,0,0
7981,0,0
9921,0,0
2051,0,0
9049,0,0
7496,0,0
107,0,0
1645,1,0
9843,0,0
4064,0,0
8323,0,0
805,0,0
969,0,0
1978,0,0
4668,0,0
8782,0,0
2558,0,0
3786,0,0
7940,0,0
1180,0,0
8231,0,0
6840,0,0
9592,0,0
98,1,0
9033,0,0
10206,0,0
6732,0,0
595,0,0
2607,1,0
6954,0,0
6073,0,0
6914,0,0
8345,0,0
5037,0,0
9209,0,0
2566,0,0
1791,0,0
8969,0,0
4392,0,0
6140,0,0
7847,0,0
